,Establishment,Latitude,Longitude,Evaluation,property_zipcode
381,Vinny's Pizzeria ,40.73307455,-74.16345536,Satisfactory,07105
382,GTB Discount Outlet,40.73022411,-74.16074329,Conditionally Satisfactory,07105
383,Lobby Shop,40.73883978,-74.16793722,Satisfactory,07102
385,Robert Treat Hotel,40.73883978,-74.16793722,Satisfactory,07102
386,Club Espana,40.72574682,-74.16213944,Conditionally Satisfactory,07105
387,Parkside Preschool III.,40.76964004,-74.16241732,Satisfactory,07104
388,Spanish Tavern ,40.72963337,-74.16704508,Satisfactory,07105
389,EL Nuevo Caballo Blanco,40.77469620000001,-74.16667767,Conditionally Satisfactory,07104
390,EL Nuevo Caballo Blanco,40.77469620000001,-74.16667767,Conditionally Satisfactory,07104
391,A&L Pizzeria and Restaurant ,40.77729848,-74.16531289,Satisfactory,07104
393,Melo Deli & Grocery ,40.77875844,-74.16184004,Conditionally Satisfactory,07104
394,Melo Deli & Grocery ,40.77875844,-74.16184004,Conditionally Satisfactory,07104
397,Famous Food Market Inc.,40.75412072,-74.17495176,Conditionally Satisfactory,07104
399,Pizza 2000 ,40.730951899999994,-74.17667638,Conditionally Satisfactory,07102
400,Pizza 2000 ,40.730951899999994,-74.17667638,Conditionally Satisfactory,07102
402,Sol Cafe ,40.74105935,-74.1712905,Conditionally Satisfactory,07102
403,Emergency Housing Services,40.73224392,-74.21029067,Conditionally Satisfactory,07103
404,Ariana's Grocery & Deli ,40.75926413,-74.16954057,Conditionally Satisfactory,07104
405,Sport Newark & Benfica,40.72342529,-74.14310356,Satisfactory,07105
406,Pueblo Meat Supermarket ,40.78321141,-74.16239713,Conditionally Satisfactory,07104
408,Uniao Desportiva Ferreirense ,40.72566766,-74.14578485,Conditionally Satisfactory,07105
409,vailsburg Wine and liquor ,40.74621922,-74.22910983,Conditionally Satisfactory,07106
410,Robert Treat Academy ,40.76560776,-74.17177084,Satisfactory,07104
411,Robert Treat Academy ,40.76560776,-74.17177084,Satisfactory,07104
412,Rainbow Land Learning Center ,40.72992218,-74.15154981,Satisfactory,07105
413,Winburg Restaurant ,40.74584148,-74.23609857,Conditionally Satisfactory,07106
414,D & R Supermarket ,40.73823495,-74.23531107,Satisfactory,07106
415,CASA Nova Grill dba Casa Nova Churrascaria,40.72867113,-74.15284148,Satisfactory,07105
416,KILKENNY ALE HOUSE ,40.74202553,-74.17039381,Conditionally Satisfactory,07102
417,Leo's Cafe El Guame ,40.77105542,-74.16276891,Conditionally Satisfactory,07104
418,Leo's Cafe El Guame ,40.77105542,-74.16276891,Conditionally Satisfactory,07104
419,Cervejaria Vianense,40.72905573,-74.15637752,Conditionally Satisfactory,07105
420,Valdez Liquor & Deli ,40.77508088,-74.16374975,Satisfactory,07104
421,Veterans of Foreign Wars Post 9015,40.72713765,-74.17376009,Conditionally Satisfactory,07102
423,Casa  Vasca,40.72847967,-74.16493387,Satisfactory,07105
425,Olshins Pharmacy,40.72903752,-74.16303475,Satisfactory,07105
426,New Great Wall,40.75102837,-74.17029489,Conditionally Satisfactory,07104
427,New Great Wall,40.75102837,-74.17029489,Conditionally Satisfactory,07104
430,Hot Spot Diner,40.71885913,-74.17932363,Conditionally Satisfactory,07114
